wavelength[um]           flux[Jy]
6.700780161642089006e+00 4.242444278903955866e-04
6.707484293310628232e+00 1.448785932184532325e-04
6.714195132464017668e+00 1.112935980166369763e-04
6.720912685813112297e+00 2.261849888465151568e-04
6.727636960075452421e+00 2.269587191844544259e-04
6.734367961975310735e+00 2.907801240443277924e-04
6.741105698243684330e+00 3.632042342478495256e-04
6.747850175618314239e+00 2.368011347945064740e-04
6.754601400843686321e+00 3.276202396022382616e-04
6.761359380671025932e+00 5.222906236753588772e-04
6.768124121858305919e+00 2.857593111395796085e-04
6.774895631170272381e+00 1.615601322912658510e-04
6.781673915378440221e+00 2.199016268111712120e-04
6.788458981261083380e+00 1.341311045704132081e-04
6.795250835603269479e+00 1.345233439717401149e-04
6.802049485196856260e+00 3.201186438264607185e-04
6.808854936840480043e+00 3.484689514156078622e-04
6.815667197339611683e+00 2.907525342828384276e-04
6.822486273506513932e+00 2.643167086780877383e-04
6.829312172160263650e+00 2.272574903225669412e-04
6.836144900126752688e+00 2.993509713133408329e-04
6.842984464238716313e+00 4.212169270206892976e-04
6.849830871335718996e+00 2.688414479692458688e-04
6.856684128264158851e+00 1.488095755011021953e-04
6.863544241877308494e+00 7.464680969145276413e-05
6.870411219035266193e+00 1.693993037889469423e-04
6.877285066604999386e+00 2.477391434765158999e-04
6.884165791460372219e+00 2.424708432722458425e-04
6.891053400482104685e+00 4.345442894109096581e-04
6.897947900557812595e+00 4.591344752915205900e-04
6.904849298582003136e+00 1.983144642826223294e-04
6.911757601456058886e+00 4.053140178614870180e-04
6.918672816088298205e+00 3.920133515812153965e-04
6.925594949393934385e+00 4.531217382243961779e-04
6.932524008295088969e+00 5.916523792827321944e-04
6.939459999720837047e+00 2.805508920066423400e-04
6.946402930607153969e+00 4.614671269901816269e-04
6.953352807896973076e+00 3.296153182782974971e-04
6.960309638540182142e+00 8.909346808781715978e-05
6.967273429493618941e+00 2.822180921148898132e-04
6.974244187721073018e+00 2.932665112446829073e-04
6.981221920193293684e+00 3.179298733255137379e-04
6.988206633888011332e+00 4.469986919693938856e-04
6.995198335789934774e+00 2.484669009381110911e-04
7.002197032890781436e+00 3.737725525696321662e-04
7.009202732189245388e+00 3.879491003340948822e-04
7.016215440691028427e+00 3.370237173210491191e-04
7.023235165408839187e+00 1.825666997777705876e-04
7.030261913362399362e+00 4.445773344303945466e-04
7.037295691578455248e+00 3.279697101338200781e-04
7.044336507090792843e+00 1.125791149467531325e-04
7.051384366940225412e+00 1.917209457981133445e-04
7.058439278174613030e+00 2.128139789678164088e-04
7.065501247848869681e+00 3.745639937567765330e-04
7.072570283024953497e+00 5.015967675590552550e-04
7.079646390771910269e+00 3.396348301990744791e-04
7.086729578165847698e+00 3.032571699503717826e-04
7.093819852289950489e+00 3.573748233634857193e-04
7.100917220234501670e+00 4.319804815722899606e-04
7.108021689096868378e+00 3.801066156716739709e-04
7.115133265981508082e+00 2.348195355508701603e-04
7.122251958000005878e+00 2.732782691194537809e-04
7.129377772271054070e+00 4.257892983670649267e-04
7.136510715920461934e+00 4.440465823928908275e-04
7.143650796081180587e+00 2.562600754678875980e-04
7.150798019893291446e+00 2.058060515350434321e-04
7.157952394504015992e+00 2.583755909093719220e-04
7.165113927067729982e+00 2.218550954516552022e-04
7.172282624745966118e+00 1.639663588761028075e-04
7.179458494707433580e+00 3.570413579025087897e-04
7.186641544127991388e+00 3.233952745187781280e-04
7.193831780190693692e+00 3.290239394003546618e-04
7.201029210085776455e+00 3.133457254641065152e-04
7.208233841010669884e+00 1.483121323582467033e-04
7.215445680170001985e+00 2.459086347467672774e-04
7.222664734775615436e+00 3.836453200873315354e-04
7.229891012046563148e+00 3.073036217248712744e-04
7.237124519209115370e+00 2.378171898235217051e-04
7.244365263496787222e+00 3.033351498396407581e-04
7.251613252150333366e+00 2.423301687964701746e-04
7.258868492417732021e+00 1.912262991440291974e-04
7.266130991554229368e+00 3.430685297816829082e-04
7.273400756822334223e+00 2.070064820713808640e-04
7.280677795491791393e+00 1.273191609658843985e-04
7.287962114839658945e+00 3.029243124033776779e-04
7.295253722150257580e+00 2.609030098074181076e-04
7.302552624715171525e+00 1.777452445872257846e-04
7.309858829833316918e+00 1.840454011142290210e-04
7.317172344810906282e+00 3.010644201933034675e-04
7.324493176961445862e+00 2.388003348481524107e-04
7.331821333605771152e+00 1.680293179976475963e-04
7.339156822072049557e+00 1.517291730184017944e-04
7.346499649695761747e+00 1.279395190262816256e-04
7.353849823819730958e+00 1.824017561167866992e-04
7.361207351794133658e+00 1.903739602219229720e-04
7.368572240976500431e+00 2.393921092439677142e-04
7.375944498731714205e+00 1.044860749393811730e-04
7.383324132432038667e+00 2.283120958035528541e-04
7.390711149457121820e+00 1.805585505627698144e-04
7.398105557193967563e+00 1.388564667399305860e-04
7.405507363036982760e+00 2.695929086428289234e-04
7.412916574387977242e+00 2.447677649056158528e-04
7.420333198656158480e+00 1.197700325275451513e-04
7.427757243258165332e+00 1.358461680593321165e-04
7.435188715618026301e+00 2.700594764256101826e-04
7.442627623167226147e+00 2.171312416830609258e-04
7.450073973344677469e+00 7.297004021962103740e-05
7.457527773596704712e+00 1.815966589849460529e-04
7.464989031377127660e+00 1.547823816280646358e-04
7.472457754147218800e+00 1.286258714066604487e-04
7.479933949375681124e+00 1.233009799104667229e-04
7.487417624538715621e+00 2.900453338759369400e-04
7.494908787120001747e+00 2.983990686645204946e-04
7.502407444610705411e+00 1.445290385338717431e-04
7.509913604509471874e+00 2.581800458864308835e-04
7.517427274322463937e+00 2.813336389075768939e-04
